age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object_id,outcome_object_name,latitude,longitude,street_id,street_name,lng,lat
10-17,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-04T20:16:00+00:00,FALSE,TRUE,Black,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.483698,-2.243949,726021,On or near Parking Area,-2.243949,53.483698
18-24,A no further action disposal,TRUE,Asian/Asian British - Pakistani,NA,Misuse of Drugs Act 1971 (section 23),NA,2019-01-04T20:26:00+00:00,FALSE,TRUE,Asian,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.483698,-2.243949,726021,On or near Parking Area,-2.243949,53.483698
10-17,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),NA,2019-01-04T20:50:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.542218,-2.114586,740547,On or near Supermarket,-2.114586,53.542218
18-24,A no further action disposal,TRUE,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-04T21:33:00+00:00,FALSE,FALSE,Asian,Person and Vehicle search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.492705,-2.099184,729660,On or near Pole Street,-2.099184,53.492705
18-24,Arrest,TRUE,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2019-01-04T21:33:00+00:00,FALSE,FALSE,Asian,Person and Vehicle search,NA,Controlled drugs,bu-arrest,Arrest,53.492705,-2.099184,729660,On or near Pole Street,-2.099184,53.492705
18-24,A no further action disposal,TRUE,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-04T23:50:00+00:00,FALSE,FALSE,Black,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.476636,-2.238002,725900,On or near Nightclub,-2.238002,53.476636
10-17,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-05T00:30:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.494924,-2.111655,729561,On or near Eaton Drive,-2.111655,53.494924
18-24,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-05T01:50:00+00:00,FALSE,FALSE,Asian,Person and Vehicle search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.583312,-2.382611,746282,On or near Skelton Grove,-2.382611,53.583312
18-24,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-05T01:50:00+00:00,FALSE,FALSE,Asian,Person and Vehicle search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.583312,-2.382611,746282,On or near Skelton Grove,-2.382611,53.583312
18-24,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-05T01:50:00+00:00,FALSE,FALSE,Asian,Person and Vehicle search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.583312,-2.382611,746282,On or near Skelton Grove,-2.382611,53.583312
18-24,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-05T01:50:00+00:00,FALSE,FALSE,White,Person and Vehicle search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.583312,-2.382611,746282,On or near Skelton Grove,-2.382611,53.583312
10-17,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-05T18:37:00+00:00,FALSE,TRUE,Black,Person search,NA,Article for use in theft,bu-no-further-action,A no further action disposal,53.481250,-2.236341,725945,On or near Piccadilly,-2.236341,53.48125
10-17,A no further action disposal,TRUE,Asian/Asian British - Indian,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-05T18:50:00+00:00,FALSE,FALSE,Asian,Person search,NA,Stolen goods,bu-no-further-action,A no further action disposal,53.426866,-2.209702,717720,On or near Supermarket,-2.209702,53.426866
18-24,A no further action disposal,TRUE,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-06T03:24:00+00:00,FALSE,FALSE,Black,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.477477,-2.239785,725903,On or near Nightclub,-2.239785,53.477477
10-17,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-06T17:00:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.370749,-2.127952,711571,On or near Arundel Avenue,-2.127952,53.370749000000004
18-24,Khat or Cannabis warning,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2019-01-06T17:00:00+00:00,FALSE,FALSE,White,Person search,NA,Stolen goods,bu-khat-or-cannabis-warning,Khat or Cannabis warning,53.421524,-2.211121,716331,On or near Milton Court,-2.211121,53.421524
18-24,A no further action disposal,TRUE,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-06T18:03:00+00:00,FALSE,FALSE,Black,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.479937,-2.241050,725922,On or near West Mosley Street,-2.24105,53.479937
18-24,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-06T22:14:00+00:00,FALSE,FALSE,Asian,Person and Vehicle search,NA,Offensive weapons,bu-no-further-action,A no further action disposal,53.603408,-2.298166,748683,On or near Victor Avenue,-2.298166,53.603408
10-17,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-06T23:40:00+00:00,FALSE,FALSE,White,Person search,NA,Article for use in theft,bu-no-further-action,A no further action disposal,53.399050,-2.340619,715339,On or near Bradley Close,-2.340619,53.39905
18-24,A no further action disposal,TRUE,Mixed/Multiple ethnic groups - White and Black Caribbean,NA,Misuse of Drugs Act 1971 (section 23),NA,2019-01-07T02:40:00+00:00,FALSE,FALSE,Black,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.418952,-2.091925,717141,On or near Hill Top,-2.091925,53.418952
18-24,A no further action disposal,TRUE,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-07T02:47:00+00:00,FALSE,FALSE,Black,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.450719,-2.243926,721933,On or near Alexandra Avenue,-2.243926,53.450719
